No	Word	Clue	Vertical/Horizontal
1	Apple 	 A red or green fruit 	 H
2	Ball 	 A round toy you can throw and kick 	 H
3	Cat 	 A small animal that says meow 	 H
4	Dog 	 A friendly animal that barks 	 H
5	Fish 	 An animal that lives in water 	 H
6	Bird 	 A creature that flies in the sky 	 H
7	Cow 	 A big farm animal that gives milk 	 H
8	Pig 	 A pink farm animal that goes oink 	 H
9	Duck 	 A bird that swims in ponds 	 H
10	Ship 	 A big boat that sails on the sea 	 V
11	Jump 	 To push your body into the air 	 H
12	Run 	 To move very fast with your legs 	 H
13	Walk 	 To move slowly with your feet 	 H
14	Sing 	 To make music with your voice 	 H
15	Dance 	 To move your body to music 	 H
16	Play 	 To have fun with friends 	 H
17	Game 	 A fun activity to play 	 H
18	Book 	 Something you read with pages 	 V
19	Desk 	 A table where you sit and write 	 H
20	Chair 	 A place to sit in the classroom 	 V
21	Pencil 	 Something you write with that you can sharpen 	 V
22	Pen 	 A writing tool that uses ink 	 H
23	Paper 	 Something you draw or write on 	 V
24	Eraser 	 A thing that removes pencil marks 	 V
25	Bag 	 You put your books and things here 	 H
26	School 	 A place where you learn and read 	 V
27	Class 	 A group of students with a teacher 	 H
28	Teacher 	 The person who helps you learn 	 V
29	Student 	 Someone who goes to school 	 V
30	Learn 	 To get new knowledge 	 H
31	Read 	 To look at words and understand them 	 V
32	Write 	 To make letters and words on paper 	 V
33	Draw 	 To make a picture with a pencil 	 V
34	Sing 	 To make music with your voice 	 H
35	Dance 	 To move your body to music 	 H
36	Jump 	 To push your body into the air 	 H
37	Run 	 To move very fast with your legs 	 H
38	Walk 	 To move slowly with your feet 	 H
39	Stand 	 To be on your feet 	 H
40	Sit 	 To rest on a chair or the floor 	 H
41	Sleep 	 To close your eyes and rest at night 	 V
42	Wake 	 To stop sleeping and open your eyes 	 V
43	Eat 	 To put food in your mouth 	 H
44	Drink 	 To put liquid in your mouth 	 H
45	Food 	 Something you eat to feel full 	 V
46	Water 	 A clear liquid you drink 	 V
47	Milk 	 A white drink from cows 	 H
48	Juice 	 A drink made from fruit 	 V
49	Rice 	 White food that goes with many meals 	 H
50	Bread 	 A soft food made from flour 	 H
51	Cake 	 A sweet food for birthdays 	 V
52	Egg 	 Something a chicken lays 	 H
53	Chicken 	 A bird we eat for food 	 V
54	Fish 	 A food that comes from the sea 	 H
55	Meat 	 Food that comes from animals 	 H
56	Soup 	 A hot liquid food with vegetables or meat 	 V
57	Sun 	 A bright yellow ball in the sky 	 H
58	Moon 	 A round object in the sky at night 	 V
59	Star 	 A tiny light in the night sky 	 V
60	Sky 	 The space above the earth 	 V
61	Cloud 	 Something white in the sky 	 H
62	Rain 	 Water that falls from the sky 	 H
63	Snow 	 White cold stuff that falls in winter 	 V
64	Fire 	 Something very hot and bright 	 V
65	Hot 	 Not cold feels like the sun 	 H
66	Cold 	 Not warm feels like ice 	 H
67	Warm 	 Not too hot, not too cold 	 H
68	Cool 	 A little cold but not freezing 	 H
69	Black 	 A dark color like night 	 V
70	White 	 A bright color like snow 	 V
71	Red 	 The color of an apple 	 H
72	Blue 	 The color of the sky 	 H
73	Green 	 The color of grass 	 H
74	Yellow 	 The color of the sun 	 H
75	Purple 	 A mix of red and blue 	 V
76	Orange 	 A mix of red and yellow 	 V
77	Pink 	 A light color like a flower 	 V
78	Brown 	 The color of chocolate 	 H
79	Gray 	 A color between black and white 	 V
80	Big 	 Larger than something else 	 H
81	Small 	 Not big very little 	 H
82	Tall 	 Very high up 	 H
83	Short 	 Not tall not long 	 H
84	Long 	 Taller in size from one end to the other 	 V
85	Low 	 Not high near the ground 	 H
86	Fast 	 Very quick in movement 	 H
87	Slow 	 Not fast takes more time 	 H
88	Good 	 Something nice or correct 	 H
89	Bad 	 The opposite of good 	 H
90	Happy 	 Feeling very joyful 	 V
91	Sad 	 Feeling unhappy 	 H
92	Angry 	 Feeling strong upset 	 V
93	Funny 	 Something that makes you laugh 	 V
94	Silly 	 Not serious a little crazy 	 V
95	Smart 	 Very clever or intelligent 	 V
